Edición,Año,Ganador,Tiempo del ganador,Kilómetros totales,Velocidad media,N.º de etapas[1]​,N.º de corredores que participaron,N.º de corredores que finalizaron
1,1903,Maurice Garin,94:33’14’’,2.428,"25,679 km/h",6,60,21
2,1904,Henri Cornet[2]​,96:05’55’’,2.428,"25,265 km/h",6,80,15
3,1905,Louis Trousselier,35 puntos,2.994,"25,265 km/h",11,60,24
4,1906,René Pottier,31 puntos,4.545,"24,463 km/h",13,82,14
5,1907,Lucien Petit-Breton,47 puntos,4.488,"28,740 km/h",14,93,33
6,1908,Lucien Petit-Breton,36 puntos,4.488,"28,740 km/h",14,110,36
7,1909,François Faber,37 puntos,4.497,"28,658 km/h",14,150,55
8,1910,Octave Lapize,63 puntos,4.734,"29,099 km/h",15,110,41
9,1911,Gustave Garrigou,43 puntos,5.343,"27,322 km/h",15,84,28
10,1912,Odile Defraye,49 puntos,5.289,"27,763 km/h",15,131,41
11,1913,Philippe Thys,197:54’00’’,5.287,"26,715 km/h",15,140,25
12,1914,Philippe Thys,200:28’48’’,5.380,"26,835 km/h",15,145,54
-,1915-1918,Ediciones suspendidas por la Primera Guerra Mundial,,,,,,
13,1919,Firmin Lambot,231:07’15’’,5.560,"24,056 km/h",15,67,10
14,1920,Philippe Thys,228:36’13’’,5.503,"24,072 km/h",15,113,22
15,1921,Léon Scieur,221:50’26’’,5.485,"24,784  km/h",15,123,38
16,1922,Firmin Lambot,222:08’06’’,5.375,"24,196 km/h",15,120,38
17,1923,Henri Pélissier,222:15’30’’,5.386,"24,233 km/h",15,139,48
18,1924,Ottavio Bottecchia,226:28’21’’,5.425,"24,233 km/h",15,157,60
19,1925,Ottavio Bottecchia,226:28’21’’,5.440,"24,820 km/h",18,130,49
20,1926,Lucien Buysse,238:44’25’’,5.745,"24,273 km/h",17,126,41
21,1927,Nicolas Frantz,198:16’42’’,5.321,"27,224 km/h",24,142,39
22,1928,Nicolas Frantz,192:48’58’’,5.476,"27,876 km/h",22,162,41
23,1929,Maurice De Waele,186:39’15’’,5.257,"28,319 km/h",22,155,60
24,1930,André Leducq,172:12’16’’,4.818,"27,978 km/h",21,100,59
25,1931,Antonin Magne,177:10’13’’,5.091,"28,735 km/h",24,81,35
26,1932,André Leducq,154:11’49’’,4.479,"29,047 km/h",21,80,57
27,1933,Georges Speicher,147:51’37’,4.395,"29,818 km/h",23,80,40
28,1934,Antonin Magne,147:13’58’’,4.470,"30,360 km/h",24,60,39
29,1935,Sylvère Maes,147:13’58’’,4.470,"30,650 km/h",27,93,46
30,1936,Sylvère Maes,142:47’32’’,4.470,"31,108 km/h",27,90,36
31,1937,Roger Lapébie,138:58’31’’,4.415,"31,768 km/h",31,98,46
32,1938,Gino Bartali,148:29’12’’,4.415,"32,565 km/h",29,96,55
33,1939,Sylvère Maes,132:03’37’’,4.224,"31,986 km/h",28,79,49
-,1940-1946,Ediciones suspendidas por la Segunda Guerra Mundial,,,,,,
34,1947,Jean Robic,132:03’37’’,4.640,"31,412 km/h",21,100,53
35,1948,Gino Bartali,147:10’36’’,4.922,"33,442 km/h",21,120,44
36,1949,Fausto Coppi,149:40’49’’,4.808,"32,121 km/h",21,120,55
37,1950,Ferdi Kübler,145:36’56’’,4.753,"32,778 km/h",22,116,51
38,1951,Hugo Koblet,142:20’14’’,4.690,"32,949 km/h",24,123,66
39,1952,Fausto Coppi,151:57’20’’,4.898,"32,233 km/h",23,123,78
40,1953,Louison Bobet,129:23’25’’,4.476,"34,593 km/h",22,119,76
41,1954,Louison Bobet,140:06’05’’,4.656,"33,229 km/h",25,110,69
42,1955,Louison Bobet,130:29’26’’,4.495,"34,446 km/h",23,130,69
43,1956,Roger Walkowiak,124:01’16’’,4.498,"36,268 km/h",23,120,88
44,1957,Jacques Anquetil,135:44’42’’,4.665,"34,250 km/h",24,120,56
45,1958,Charly Gaul,135:44’42’’,4.319,"36,919 km/h",24,120,78
46,1959,Federico Martín Bahamontes,123:46’45’’,4.391,"36,919 km/h",22,120,65
47,1960,Gastone Nencini,112:08’42’’,4.173,"37,210 km/h",22,128,61
48,1961,Jacques Anquetil,122:01’33’’,4.397,"36,033 km/h",22,132,72
49,1962,Jacques Anquetil,114:31’54’’,4.274,"37,317 km/h",24,150,94
50,1963,Jacques Anquetil,113:30’05’’,4.137,"37,042 km/h",23,130,76
51,1964,Jacques Anquetil,127:04’44’’,4.504,"35,419 km/h",25,132,81
52,1965,Felice Gimondi,116:42’06’’,4.177,"35,886 km/h",24,130,96
53,1966,Lucien Aimar,117:34’21’’,4.322,"36,760 km/h",26,130,82
54,1967,Roger Pingeon,136:53’50’’,4.758,"34,756 km/h",25,130,88
55,1968,Jan Janssen,133:49’42’’,4.758,"33,556 km/h",26,110,63
56,1969,Eddy Merckx,116:16’02’’,4.117,"35,409 km/h",26,130,86
57,1970,Eddy Merckx,119:31’49’’,4.254,"35,409 km/h",30,150,100
58,1971,Eddy Merckx,96:45’14’’,3.604,"38,084 km/h",25,130,94
59,1972,Eddy Merckx,108:17’18’’,3.846,"35,514 km/h",28,132,88
60,1973,Luis Ocaña,122:25’34’’,4.090,"33,407 km/h",28,132,87
61,1974,Eddy Merckx,108:17’18’’,4.098,"35,241 km/h",28,130,105
62,1975,Bernard Thévenet,114:35’31’’,4.000,"34,906 km/h",26,140,86
63,1976,Lucien Van Impe,116:22’23’’,4.017,"34,518 km/h",28,130,87
64,1977,Bernard Thévenet,115:38’30’’,4.096,"35,419 km/h",28,100,53
65,1978,Bernard Hinault,113:03’02’’,4.908,"36,084 km/h",25,110,78
66,1979,Bernard Hinault,103:06:50’’,3.765,"36,513 km/h",25,150,89
67,1980,Joop Zoetemelk,109:19’14’’,3.842,"35,144 km/h",25,130,85
68,1981,Bernard Hinault,96:19’38’’,3.753,"38,960 km/h",25,150,121
69,1982,Bernard Hinault,92:08’46’’,3.507,"38,059 km/h",23,170,125
70,1983,Laurent Fignon,105:07’52’’,3.809,"36,230 km/h",23,140,88
71,1984,Laurent Fignon,113:03’40’’,4.021,"35,882 km/h",23,170,124
72,1985,Bernard Hinault,113:24’23’’,4.109,"36,232 km/h",23,180,144
73,1986,Greg Lemond,110:35’19’’,4.094,"37,020 km/h",24,210,132
74,1987,Stephen Roche,115:27’42’’,4.231,"36,645 km/h",26,207,135
75,1988,Pedro Delgado,84:27’58’’,3.286,"38,909 km/h",23,198,151
76,1989,Greg Lemond,87:38’35’’,3.285,"37,487 km/h",22,198,138
77,1990,Greg Lemond,90:43’11’’,3.504,"38,621 km/h",22,198,156
78,1991,Miguel Induráin,101:01’20’’,3.914,"38,747 km/h",23,198,158
79,1992,Miguel Induráin,100:49’30’’,3.914,"39,504 km/h",22,198,130
80,1993,Miguel Induráin,99:57’09’’,3.714,"38,709 km/h",21,180,136
81,1994,Miguel Induráin,103:38’38’’,3.978,"38,383 km/h",22,189,117
82,1995,Miguel Induráin,92:44’59’’,3.653,"39,193 km/h",21,189,115
83,1996,Bjarne Riis[3]​,95:57’16’’,3.907,"39,227 km/h",22,198,129
84,1997,Jan Ullrich,100:30’35’’,3.950,39.237 km/h,22,198,139
85,1998,Marco Pantani,92:49’46’’,3.850,39.983 km/h,22,189,96[4]​
86,1999,Lance Armstrong[5]​,91:32’16’’,3.870,"40,276 km/h",21,180,141
87,2000,Lance Armstrong[5]​,92:33’08’’,3.662,"39,569 km/h",21,177[6]​,127
88,2001,Lance Armstrong[5]​,86:17’28’’,3.453,"40,070 km/h",21,189,144
89,2002,Lance Armstrong[5]​,82:05’12’’,3.276,"39,920 km/h",21,189,153
90,2003,Lance Armstrong[5]​,83:41’12’’,3.426,"40,940 km/h",21,198,147
91,2004,Lance Armstrong[5]​,83:36’02’’,3.391,"40,553 km/h",21,188[7]​,147
92,2005,Lance Armstrong[5]​,86:15’02’’,3.608,"41,654 km/h",21,189,155 (154)[8]​
93,2006,Óscar Pereiro[9]​,89:39’30’’,3.657,"40,784 km/h",21,176[10]​,139 (138)[9]​
94,2007,Alberto Contador,91:00’26’’,3.569,"39,228 km/h",21,189,141 (140)[11]​
95,2008,Carlos Sastre,87:52’52’’,3.558,"40,492 km/h",21,180,145 (142)[12]​
96,2009,Alberto Contador,85:48’30’’,3.459,"40,315 km/h",21,180,161 (156)[13]​
97,2010,Andy Schleck[14]​,91:58’48’’,3.641,"39,584 km/h",21,197[15]​,170 (168)[14]​
98,2011,Cadel Evans,86:12’22’’,3.452,"40,043 km/h",21,198,167
99,2012,Bradley Wiggins,87:34’47’’,3.479,"39,723 km/h",21,198,153 (152)[16]​
100,2013,Chris Froome,83:56’40’’,3.403,"40,538 km/h",21,198,169
101,2014,Vincenzo Nibali,89:59’06’’,3.660,"40,673 km/h",21,198,164
102,2015,Chris Froome,84:46’14’’,3.360,"39,639 km/h",21,198,160
103,2016,Chris Froome,89:04’48’’,3.525,"39,571 km/h",21,198,174
104,2017,Chris Froome,86:20’55’’,3.540,"40,995 km/h",21,198,167
105,2018,Geraint Thomas,83:17’13’’,3.351,"40,235 km/h",21,176,145
106,2019,Egan Bernal,82:57’00’’,"3.365,8","40,576 km/h",21,176,155
107,2020,Tadej Pogačar,87:20’05’’,"3.484,2","40,220 km/h",21,176,146
108,2021,Tadej Pogačar,82:56’36’’,"3,414.4","41,165 km/h",21,184,141
109,2022,Jonas Vingegaard,79:33’20’’,"3,349.8","42,106 km/h",21,176,135
110,2023,Jonas Vingegaard,82:05’42’’,"3,405.6","41,483 km/h",21,176,150
111,2024,Tadej Pogačar,83:38’56’’,"3,498","41,820 km/h",21,176,141
